# .PCD v0.7 - Point Cloud Data file format
VERSION 0.7
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 2932
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 2932
DATA ascii
0.85553896 1.48159480 0.02513567
0.91225684 1.40993357 -0.11001594
0.85206795 1.44234228 -0.08748029
0.74022108 1.40817237 -0.36141133
0.62399054 1.48005939 -0.28848886
0.64677596 1.40322852 -0.57190961
0.54573959 1.45075846 -0.57955515
0.40029547 1.55596709 -0.40967959
0.39260858 1.46506274 -0.97565645
0.41461793 1.47832990 -0.79015154
0.27262464 1.51605976 -1.10798228
0.57474107 1.61460567 0.06208543
0.50150764 1.68281651 0.14797562
0.39478964 1.66052747 0.00953682
0.49286121 1.58317268 -0.12275534
0.54192126 1.55285490 -0.16182309
0.27097869 1.66899467 -0.10586163
0.36037570 1.59961545 -0.27174926
0.19408990 1.63110089 -0.59564507
0.24682382 1.63678396 -0.35261232
-0.57981282 1.25304723 3.52230501
-1.19854438 2.03782940 2.90401530
-1.12194145 1.95568323 2.96480203
-0.49992821 1.36206639 3.40398645
-0.44525146 1.42710936 3.34100628
-0.54283214 1.48037779 3.29652500
-0.39309573 0.98425460 3.74893737
-0.27946118 1.08116341 3.70866251
-0.30636874 1.43942475 3.33180380
-0.15111420 1.49759328 3.32633471
0.44359270 1.68898249 3.40215993
0.28359485 1.59099042 3.42742157
0.48434466 1.71526909 3.39411902
0.59798384 1.85934293 3.29064584
0.48187715 1.75262308 3.34891915
-1.24220181 2.14579844 2.75014567
-1.03690350 1.93464935 2.94831347
-0.81103146 1.97063375 2.74605632
-1.06516862 2.03349471 2.78497100
-0.79226136 1.80473650 2.96925521
-0.52918041 1.55671418 3.22349048
-0.71572864 1.70618093 3.06976390
-0.41952062 1.69123161 3.03418946
-0.53653753 1.80576384 2.90758824
-0.33721980 1.75916433 2.94497323
-0.53471363 1.85589504 2.84723592
-0.15618160 1.55259275 3.25660276
-0.21321858 1.72036016 3.01232147
-0.20815843 1.81333077 2.89177227
-0.01924126 1.68895900 3.13956738
0.03072745 1.66057622 3.19854522
0.50026721 1.98472548 2.99535799
0.35364643 1.81833434 3.16090536
0.30454400 1.89653659 2.96028042
0.20155340 1.67259347 3.28127480
0.90627527 2.13611460 3.09722543
0.98888707 2.23361039 2.94007897
0.34326598 1.94478059 2.90718937
-1.41305780 2.37809110 2.46805215
-1.18019855 2.27098799 2.43260479
-1.33207846 2.39497137 2.28206635
-0.95622098 2.18512011 2.43765593
-1.16938210 2.30528927 2.33950329
-1.02808166 2.19521904 2.46215057
-0.90477431 2.14155221 2.48892260
-0.71205074 2.09948015 2.48177099
-0.66097617 2.03812838 2.58122158
-0.51984489 1.99764514 2.61649251
-0.33089131 2.05567956 2.48971581
-0.59743994 2.09667683 2.45931768
-0.42019707 1.97919846 2.62878489
-0.13837202 2.05077791 2.50177479
-0.10442275 2.06134391 2.49696779
-0.19373643 1.86212778 2.81853056
0.03453749 2.11816859 2.42861652
0.26495641 2.04811263 2.65026259
0.17936495 2.09760833 2.51923442
0.20202476 1.99198663 2.74585605
0.58698899 2.11857009 2.74394798
0.77082974 2.21001792 2.72853255
0.57152289 2.12025738 2.71972418
0.43546873 2.03635550 2.77527356
1.11822212 2.37945390 2.54083705
1.02825105 2.33645749 2.59735990
1.00099564 2.30468678 2.70938826
-1.40646827 2.50538707 2.09475446
-1.10548103 2.39301348 2.05181098
-0.97214609 2.30519843 2.20730519
-1.19446039 2.47265077 1.88180935
-0.90350854 2.28489280 2.18130660
-0.80884081 2.33096361 1.98679483
-1.28854799 2.52897716 1.79692066
-0.25090545 2.11807942 2.36972189
-0.69609207 2.33480906 1.92758822
-0.78397942 2.27891541 2.11846185
-0.37025636 2.15027404 2.32422137
-0.44087082 2.26132464 2.05199337
-0.38314918 2.25432730 2.05707884
-0.23816967 2.23669100 2.07000256
-0.27248099 2.21732450 2.12490535
-0.06254267 2.20246625 2.16431737
-0.08226475 2.24960279 2.02928710
-0.04869181 2.16901803 2.26007891
0.35581660 2.19643450 2.34058690
0.35142195 2.29299235 2.02303886
0.37400782 2.23335910 2.22480154
0.93350631 2.34528232 2.40863037
